MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Rita Tarai,Elected,18-May-14,In office,First,Health and Family Welfare,Odisha,Jajpur,Biju Janata Dal,Female,Inter/ Higher Secondary,Intermediate,40,8,0,117,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Riti Pathak,Elected,18-May-14,In office,First,Coal & Steel,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Female,Post Graduate,"B.A., M.A., L.L.B",39,69,0,192,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Rodmal Nagar,Elected,18-May-14,In office,First,Defence,Madhya Pradesh,Rajgarh,Bharatiya Janata Party,Male,Graduate,Graduate,56,219,0,261,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
S. Rajendran,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.,60,13,0,118,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
S. Selvakumara Chinnayan,Elected,18-May-14,In office,First,Home Affairs,Tamil Nadu,Erode,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"B.Sc, M.A.,B.L.",58,22,0,89,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
S.P. Muddahanumegowda,Elected,18-May-14,In office,First,Industry,Karnataka,Tumkur,Indian National Congress,Male,Professional Graduate,"B.A., L.L.B.",62,77,0,412,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
S.P.Y. Reddy,Elected,18-May-14,In office,Third,Water Resources ,Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,Male,Professional Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",66,0,0,0,17%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
S.R. Vijayakumar,Elected,18-May-14,In office,First,Railways ,Tamil Nadu,Chennai Central,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",42,49,0,469,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
S.S. Ahluwalia,Elected,18-May-14,In office,First,No,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal",65,30,0,0,87%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,16.8,0.2,42,67%
Sadashiv Kisan Lokhande,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Maharashtra,Shirdi,Shiv Sena,Male,Inter/ Higher Secondary,Higher Secondary,54,18,5,372,72%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sadhu Singh,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Punjab,Faridkot,Aam Aadmi Party,Male,Post Graduate,M.A. (English),76,4,0,13,48%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Sakuntala Laguri,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Odisha,Keonjhar,Biju Janata Dal,Female,Matric,Matric,36,10,0,254,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Sambasiva Rayapati Rao,Elected,18-May-14,In office,Fifth,Finance,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",73,5,0,244,43%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Sandhya Roy,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",West Bengal,Medinipur,All India Trinamool Congress,Female,Under Matric,Information not available,75,1,0,0,57%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sanjay (Bandu) Haribhau Jadhav,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Maharashtra,Parbhani,Shiv Sena,Male,Matric,Matric,49,16,0,153,59%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sanjay Jaiswal,Elected,18-May-14,In office,Second,Health and Family Welfare,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",51,65,7,217,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Sanjay Shamrao Dhotre,Elected,18-May-14,In office,Third,Rural Development ,Maharashtra,Akola,Bharatiya Janata Party,Male,Professional Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",58,19,0,361,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sanjaykaka Patil,Elected,18-May-14,In office,First,Water Resources ,Maharashtra,Sangli,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary,52,8,0,136,56%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sanjeev Kumar Balyan,Elected,18-May-14,In office,First,No,Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,Male,Doctorate,Ph.D. in Veterinary Anatomy,44,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sankar Prasad Datta,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Tripura,Tripura West,Communist Party of India (Marxist),Male,Post Graduate,"M.A., LL.B.",59,105,4,185,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,90,2,189,82%
Santokh Singh Chaudhary,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Punjab,Jalandhar,Indian National Congress,Male,Professional Graduate,"B.A., L.L.B.",70,23,0,35,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Santosh Ahlawat,Elected,18-May-14,In office,First,Human Resource Development,Rajasthan,Jhunjhunu,Bharatiya Janata Party,Female,Professional Post Graduate,"M.A., M.Ed.",59,81,0,415,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Santosh Kumar,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Bihar,Purnia,Janata Dal (United),Male,Inter/ Higher Secondary,Intermediate,41,20,0,63,65%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Santosh Kumar Gangwar,Elected,18-May-14,In office,Seventh,No,Uttar Pradesh,Bareilly,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B.; Educated at Agra University and Rohilkhand University, Bareilly (Uttar Pradesh)",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sanwar Lal Jat,Elected,18-May-14,In office,First,Finance,Rajasthan,Ajmer,Bharatiya Janata Party,Male,Doctorate,"M.Com., P.H.D.",62,0,0,3,52%,"This MP was a minister between Nov 2014 to 4 Jul, 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014 and from 18th Jul, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",15.4,0.5,62,81%,24.4,0.9,74,89%
Sarbananda Sonowal,Elected,18-May-14,28/05/2016,Second,No,Assam,Lakhimpur,Bharatiya Janata Party,Male,Professional Graduate,"LL.B., B.C.J.; Educated at Dibrugarh University and, Gauhati University",54,0,0,0,N/A,"This MP was a minister till 4 Jul, 2016. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance deta (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",0,0,0,N/A,0,0,0,N/A
Satabdi Roy,Elected,18-May-14,In office,Second,Social Justice & Empowerment ,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,47,3,0,2,75%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Satish Chandra Dubey,Elected,18-May-14,In office,First,Labour ,Bihar,Valmiki Nagar,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,41,26,0,113,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Satish Kumar,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Aligarh,Bharatiya Janata Party,Male,Matric,Matric,44,11,0,33,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Satya Pal Singh,Elected,18-May-14,In office,First,Home Affairs,Uttar Pradesh,Baghpat,Bharatiya Janata Party,Male,Doctorate,"M.Sc., M.A., M. Phill, Ph.D., M.B.A.",61,40,1,0,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Satyapal Singh,Elected,18-May-14,In office,First,"Agriculture and Personnel, Public Grievances, Law and Justice",Uttar Pradesh,Sambhal,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B.",43,67,0,105,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Saugata Roy,Elected,18-May-14,In office,Third,Finance,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",69,147,5,383,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Saumitra Khan,Elected,18-May-14,In office,First,Commerce,West Bengal,Bishnupur,All India Trinamool Congress,Male,Matric,High School,36,6,0,6,65%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Savitri Bai Foole,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Uttar Pradesh,Bahraich,Bharatiya Janata Party,Female,Post Graduate,M.A.,36,34,0,16,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Savitri Thakur,Elected,18-May-14,In office,First,Industry,Madhya Pradesh,Dhar,Bharatiya Janata Party,Female,Matric,Matric,38,9,0,23,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Shailesh Kumar Urph Bulo Mandal,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Bhagalpur,Rashtriya Janata Dal,Male,Graduate,Graduate,41,38,2,56,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Shanta Kumar,Elected,18-May-14,In office,Fourth,No,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Panjab University and Delhi Law College, Delhi",82,0,0,13,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,0.8,122,91%
Sharad Bansode,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Maharashtra,Solapur,Bharatiya Janata Party,Male,Professional Graduate,LL.B.,49,6,0,16,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sharad Tripathi,Elected,18-May-14,In office,First,External Affairs,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Post Graduate,M.A.,45,378,3,172,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Shashi Tharoor,Elected,18-May-14,In office,Second,External Affairs,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",61,53,8,315,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Shatrughan Sinha,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",70,0,0,0,70%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Sher Singh Ghubaya,Elected,18-May-14,In office,Second,Defence and Social Justice & Empowerment ,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,54,33,0,65,67%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Shibu Soren,Elected,18-May-14,In office,Eighth,"Food, Consumer Affairs & Public Distribution",Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",73,0,0,0,32%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Shivaji Adhalrao Patil,Elected,18-May-14,In office,Third,"Science & Technology, Environment & Forests",Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",60,18,3,678,65%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Shobha Karandlaje,Elected,18-May-14,In office,First,Defence,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Female,Post Graduate,"M.A., MSW",50,96,0,481,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Shrikant Eknath Shinde,Elected,18-May-14,In office,First,Health and Family Welfare,Maharashtra,Kalyan,Shiv Sena,Male,Professional Post Graduate,"M.B.B.S., MS Orthpaedics (Final Yr.)",30,76,0,489,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-14,In office,Second,Labour ,Maharashtra,Satara,Nationalist Congress Party,Male,Diploma Course,"Production Engg., Educated at Bharati Vidyapeeth",51,0,0,0,29%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Shripad Yesso Naik,Elected,18-May-14,In office,Fourth,No,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shrirang Appa Barne,Elected,18-May-14,In office,First,Defence,Maharashtra,Maval,Shiv Sena,Male,Matric,10th Class,53,199,12,695,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Shyama Charan Gupta,Elected,18-May-14,In office,Second,Finance,Uttar Pradesh,Allahabad,Bharatiya Janata Party,Male,Professional Graduate,"B.A, LL.B. Educated at Kanpur University and Lucknow University (Uttar Pradesh)",72,15,0,27,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Sidhant Mohapatra,Elected,18-May-14,In office,Second,Water Resources ,Odisha,Berhampur,Biju Janata Dal,Male,Professional Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,50,6,0,0,64%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Siraj Uddin Ajmal,Elected,18-May-14,In office,First,External Affairs,Assam,Barpeta,All India United Democratic Front,Male,Under Graduate,B.Sc. (Final Year),59,16,0,191,35%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Sisir Kumar Adhikari,Elected,18-May-14,In office,Second,Rural Development ,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,75,0,0,127,46%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sona Ram,Elected,18-May-14,In office,Fourth,Defence,Rajasthan,Barmer,Bharatiya Janata Party,Male,Professional Graduate,"B.E., Fellow (F.I.E.); Educated at Multipurpose Higher Secondary School, M.B.M. Engineering College, Jodhpur (Rajasthan) and Institute of Engineers (India)",71,29,0,244,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Sonia Gandhi,Elected,18-May-14,In office,Fourth,No,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",70,5,0,0,62%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Sreemati Dev Varma (Moon Moon Sen),Elected,18-May-14,In office,First,Industry,West Bengal,Bankura,All India Trinamool Congress,Female,Post Graduate,M.A.,62,0,0,0,68%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Subhash Baheria,Elected,18-May-14,In office,Second,No,Rajasthan,Bhilwara,Bharatiya Janata Party,Male,Graduate,F.C.A. (Chartered Accountant),60,36,0,28,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Subhash Patel,Elected,18-May-14,In office,First,Water Resources ,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Post Graduate,M.A.(Sociology),38,8,0,53,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Subhash Ramrao Bhamre,Elected,18-May-14,In office,First,No,Maharashtra,Dhule,Bharatiya Janata Party,Male,Professional Post Graduate,M.S. and Super Specialisation in Cancer Surgery,63,9,0,218,77%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,34.2,1.9,283,79%
Subrata Bakshi,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",66,0,0,0,28%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sudarshan Bhagat,Elected,18-May-14,In office,Second,No,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudhir Gupta,Elected,18-May-14,In office,First,Railways  and Water Resources ,Madhya Pradesh,Mandsour,Bharatiya Janata Party,Male,Post Graduate,M.Com,57,318,0,568,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Sudip Bandyopadhyay,Elected,18-May-14,In office,Fourth,Railways ,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",64,42,0,0,57%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sugata Bose,Elected,18-May-14,In office,First,External Affairs,West Bengal,Jadavpur,All India Trinamool Congress,Male,Doctorate,"Ph.D. (University of Cambridge, 1983)",60,25,2,1,67%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sukender Reddy Gutha,Elected,18-May-14,In office,Third,Energy,Telangana,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",63,13,0,210,57%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Sukhbir Singh Jaunapuria,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,Male,Graduate,B.Com.,59,50,5,174,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Sultan Ahmed,Elected,18-May-14,In office,Second,Energy,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",63,14,0,196,56%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sumedhanand Saraswati,Elected,18-May-14,In office,First,Human Resource Development,Rajasthan,Sikar,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,65,59,0,366,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Sumitra Mahajan,Elected,18-May-14,In office,Eighth,No,Madhya Pradesh,Indore,Bharatiya Janata Party,Female,Post Graduate,"M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",73,N/A,N/A,N/A,N/A,"As a Speaker, this MP does not sign the attendance register and participate in debates and questions. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunil Baliram Gaikwad,Elected,18-May-14,In office,First,Information Technology,Maharashtra,Latur,Bharatiya Janata Party,Male,Doctorate,"Ph.D., M.B.A. (Marketing), M.A.(Pol. Sc.), B.M.C.T., N.D., M.D.(Acu)",46,24,0,496,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Sunil Kumar Mondal,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",West Bengal,Bardhaman Purba,All India Trinamool Congress,Male,Professional Graduate,"B.A., B.Ed.",58,6,0,244,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Sunil Kumar Singh,Elected,18-May-14,In office,First,Coal & Steel,Jharkhand,Chatra,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.A., M.A. (Sociology)",55,75,14,412,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Supriya Sule,Elected,18-May-14,In office,Second,External Affairs,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",47,60,12,703,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
