MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
S. Gandhiselvan,Elected,18-May-09,In office,Tamil Nadu,Namakkal,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., M.Phil; Annamalai University",50,2,0,0,66%,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.7,0,47,76%,6.7,0,85,69%
S. Jagathrakshakan,Elected,18-May-09,In office,Tamil Nadu,Arakkonam,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,Educated at Valudvur,66,0,0,0,23%,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.7,0,47,76%,6.7,0,85,69%
S. Pakkirappa,Elected,18-May-09,In office,Karnataka,Raichur,Bharatiya Janata Party,Male,Under Matric,,55,4,0,798,67%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
S. R. Jeyadurai,Elected,18-May-09,In office,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi",44,12,0,681,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
S. Semmalai,Elected,18-May-09,In office,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College",68,127,4,558,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
S.P.Y. Reddy,Elected,18-May-09,In office,Andhra Pradesh,Nandyal,Indian National Congress,Male,Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",63,3,0,2,46%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
S.S. Palanimanickam,Elected,18-May-09,In office,Tamil Nadu,Thanjavur,Dravida Munnetra Kazhagam,Male,Graduate,"B.L.; Educated at Madras Law College, Chennai (Tamil Nadu) ",63,0,0,0,36%,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.7,0,47,76%,6.7,0,85,69%
S.S. Ramasubbu,Elected,18-May-09,In office,Tamil Nadu,Tirunelveli,Indian National Congress,Male,Post Graduate,"M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",64,171,2,1063,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Sabbam Hari,Elected,18-May-09,In office,Andhra Pradesh,Anakapalli,Indian National Congress,Male,Graduate,B.Com.; Educated at A.V.N. College,61,0,0,0,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Sachin Pilot,Elected,18-May-09,In office,Rajasthan,Ajmer,Indian National Congress,Male,Post Graduate,"B.A. (Hons), M.B.A.; Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",36,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sadashivrao Dadoba Mandlik,Elected,18-May-09,In office,Maharashtra,Kolhapur,Independent,Male,Graduate,"B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",79,8,0,72,50%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sai Prathap Annayyagari,Elected,18-May-09,In office,Andhra Pradesh,Rajampet,Indian National Congress,Male,Under Graduate,"Educated at Gulbarga Medical College, Gulbarga, Karnataka",69,1,0,163,78%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,10.2,0.1,167,68%
Sajjan Singh Verma,Elected,18-May-09,In office,Madhya Pradesh,Dewas,Indian National Congress,Male,Post Graduate,"M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",60,64,0,434,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Sakti Mohan Malik,Elected,18-May-09,In office,West Bengal,Arambagh,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",54,7,0,28,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Salman Khurshid,Elected,18-May-09,In office,Uttar Pradesh,Farrukhabad,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.CL.; Educated at St. Stephen`s College, Delhi and Oxford University, Oxford",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sambasiva Rayapati Rao,Elected,18-May-09,In office,Andhra Pradesh,Guntur,Indian National Congress,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",70,14,0,690,61%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Sameer Magan Bhujbal,Elected,18-May-09,In office,Maharashtra,Nashik,Nationalist Congress Party,Male,Matric,Educated at St. Mary`s Convent High School,40,15,0,346,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sandeep Dikshit,Elected,18-May-09,In office,Delhi,East Delhi,Indian National Congress,Male,Post Graduate,"M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",49,16,0,2,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%
Sanjay Bhoi,Elected,18-May-09,In office,Orissa,Bargarh,Indian National Congress,Male,Graduate,"B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",39,4,0,421,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Sanjay Dina Patil,Elected,18-May-09,In office,Maharashtra,Mumbai-North-East,Nationalist Congress Party,Male,Graduate,B.Com.; Educated at Mumbai University,45,7,0,467,82%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sanjay Jaiswal,Elected,18-May-09,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",48,40,0,208,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Sanjay Nirupam,Elected,18-May-09,In office,Maharashtra,Mumbai-North,Indian National Congress,Male,Graduate,"B.A. (Hons.) Political Science; Educated at A.N. College, Patna",49,57,0,334,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sanjay Shamrao Dhotre,Elected,18-May-09,In office,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",55,18,0,395,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sanjay Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Bijnor,Rashtriya Lok Dal,Male,Graduate,"B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",52,34,0,277,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Sanjay Sinh,Elected,18-May-09,2/7/2014,Uttar Pradesh,Sultanpur,Indian National Congress,Male,Doctorate,"M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",62,28,0,666,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37,0.8,294,76%,42.7,0.4,248,79%
Sanjeev Ganesh Naik,Elected,18-May-09,In office,Maharashtra,Thane,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Educated at Mumbai University, Maharashtra",41,76,2,756,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sansuma Khunggur Bwiswmuthiary,Elected,18-May-09,In office,Assam,Kokrajhar,Bodoland People's Front,Male,Graduate,"B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",54,51,0,100,64%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Santosh Chowdhary,Elected,18-May-09,In office,Punjab,Hoshiarpur,Indian National Congress,Female,Post Graduate,"M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",69,39,0,0,85%,"This MP was appointed a minister in Jun, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,22.5,0.7,158,78%
Sarika Singh Baghel,Elected,18-May-09,In office,Uttar Pradesh,Hathras,Rashtriya Lok Dal,Female,Post Graduate,"M.A. (English); Educated at P. C. Bagla College, Hathras",33,1,0,23,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Saroj Pandey,Elected,18-May-09,In office,Chhattisgarh,Durg,Bharatiya Janata Party,Female,Post Graduate,"M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",45,33,4,439,69%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%
Satabdi Roy,Elected,18-May-09,In office,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,44,6,0,0,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Sathyanarayana Sarvey,Elected,18-May-09,In office,Andhra Pradesh,Malkajgiri,Indian National Congress,Male,Post Graduate,"B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",59,4,0,267,72%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%
Satpal Maharaj,Elected,18-May-09,In office,Uttarakhand,Garhwal,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",62,155,9,139,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,53,4.6,112,79%
Saugata Roy,Elected,18-May-09,In office,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",66,68,0,195,95%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%
Seema Upadhyay,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur Sikri,Bahujan Samaj Party,Female,Graduate,B.A.; Educated at Ismail Degree College,48,13,0,399,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Selja,Elected,18-May-09,1/31/2014,Haryana,Ambala,Indian National Congress,Female,Post Graduate,"M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",51,N/A,N/A,N/A,N/A,"This MP is elected to Rajya Sabha. This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shafiqur Rahman Barq,Elected,18-May-09,In office,Uttar Pradesh,Sambhal,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",83,31,0,97,98%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Shailendra Kumar,Elected,18-May-09,In office,Uttar Pradesh,Kaushambi,Samajwadi Party,Male,Post Graduate,M. Com.; Educated at Allahabad University (Uttar Pradesh) ,53,353,3,168,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Sharad Chandra Govindrao Pawar,Elected,18-May-09,1/31/2014,Maharashtra,Madha,Nationalist Congress Party,Male,Graduate,B.Com.,73,N/A,N/A,N/A,N/A,"This MP is elected to Rajya Sabha. This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sharad Yadav,Elected,18-May-09,In office,Bihar,Madhepura,Janata Dal (United),Male,Graduate,"B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",66,159,0,42,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Sharifuddin Shariq,Elected,18-May-09,In office,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",78,43,0,58,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%
Shashi Tharoor,Elected,18-May-09,In office,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",57,12,1,88,87%,"This MP was a Minister till 18th Apr, 2010. He was again appointed Minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th Apr, 2010 to 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",23.1,0.5,181,78%,40,1,251,83%
Shatrughan Sinha,Elected,18-May-09,In office,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",67,7,0,66,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Sheesh Ram Ola,Elected,18-May-09,12/12/2013,Rajasthan,Jhunjhunu,Indian National Congress,Male,Matric,"Educated at Education Board, Rajasthan",86,6,0,10,93%,"This MP was appointed a minister in June, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,46.4,1,268,88%
Sher Singh Ghubaya,Elected,18-May-09,In office,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,51,12,0,51,64%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Shibu Soren,Elected,18-May-09,In office,Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",70,0,0,0,23%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Shivaji Adhalrao Patil,Elected,18-May-09,In office,Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",57,10,0,1082,43%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Shivaramagouda Shivanagouda,Elected,18-May-09,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",60,60,0,289,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Shivraj Singh Lodhi,Elected,18-May-09,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Matric,"Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",70,14,0,93,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-09,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",48,1,0,41,51%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Shripad Yesso Naik,Elected,18-May-09,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",61,34,0,140,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.5,0.5,214,88%
Shriprakash Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Kanpur,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Kanpur, Uttar Pradesh",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shruti Choudhry,Elected,18-May-09,In office,Haryana,Bhiwani-Mahendragarh,Indian National Congress,Female,Graduate,"B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",38,24,0,664,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%
Sidhant Mohapatra,Elected,18-May-09,In office,Orissa,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,47,3,0,4,58%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Sisir Kumar Adhikari,Elected,18-May-09,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,72,0,0,0,43%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%
Sivakumar @ J.K. Ritheesh. K,Elected,18-May-09,In office,Tamil Nadu,Ramanthapuram,Dravida Munnetra Kazhagam,Male,Graduate,"B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",40,16,0,161,38%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Sk. Nurul Islam,Elected,18-May-09,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Matric,ALIM; Educated at Khorki Sr. Madrasa,50,1,0,4,37%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Sk. Saidul Haque,Elected,18-May-09,In office,West Bengal,Bardhaman-Durgapur,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",59,96,0,258,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Sohan Potai,Elected,18-May-09,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",55,24,0,5,69%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%
Solanki Dinubhai Boghabhal,Elected,18-May-09,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Graduate,B.A.,57,0,0,0,15%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Somabhai Gandalal Koli Patel,Elected,18-May-09,In office,Gujarat,Surendranagar,Indian National Congress,Male,Under Matric,"Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",73,1,0,10,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Somendra Nath Mitra,Elected,18-May-09,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,"B.Sc., LL.B.",70,1,0,278,48%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Sonawane Pratap Narayanrao,Elected,18-May-09,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,"B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",65,14,0,293,53%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Sonia Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",67,2,0,0,47%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Srikanta Kumar Jena,Elected,18-May-09,In office,Orissa,Balasore,Indian National Congress,Male,Graduate,"B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Subhash Bapurao Wankhede,Elected,18-May-09,In office,Maharashtra,Hingoli,Shiv Sena,Male,Matric,"Educated at Zilla Parishad School, Hadgaon, Maharashtra",51,12,0,327,65%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Subodh Kant Sahay,Elected,18-May-09,In office,Jharkhand,Ranchi,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",62,0,0,0,59%,"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,13.3,0.1,69,66%
Subrata Bakshi,Elected,21-Dec-11,In office,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",63,1,0,0,32%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),17.4,0.3,138,76%,17.6,0.1,73,72%
Sucharu Ranjan Haldar,Elected,18-May-09,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Post Graduate,"M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",73,6,0,29,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Sudarshan Bhagat,Elected,18-May-09,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",44,20,0,402,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Sudip Bandyopadhyay,Elected,18-May-09,In office,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",61,55,0,0,85%,"This MP was a minister from Jul, 2011 to Sep, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011 and after 21st Sep, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",25,0.5,204,76%,30.8,0.7,119,72%
Sukender Reddy Gutha,Elected,18-May-09,In office,Andhra Pradesh,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",60,12,0,103,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Sukhdev Singh Libra,Elected,18-May-09,In office,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Matric,"Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",81,12,0,98,98%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Sultan Ahmed,Elected,18-May-09,In office,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",60,1,0,63,55%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%
